example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.1,STOP,0,80,-0.03315375051802735,241.3
gsm8k-test-1,0.1,STOP,0,50,-0.020721094073767096,241.3
gsm8k-test-2,0.1,STOP,0,63,-0.026108578532946538,241.3
gsm8k-test-3,0.1,STOP,0,53,-0.02196435971819312,241.3
gsm8k-test-4,0.1,STOP,0,115,-0.04765851636966432,241.3
gsm8k-test-5,0.1,STOP,0,69,-0.028595109821798595,241.3
gsm8k-test-6,0.1,STOP,0,60,-0.024865312888520515,241.3
gsm8k-test-7,0.1,STOP,0,79,-0.03273932863655201,241.3
gsm8k-test-8,0.1,STOP,0,110,-0.04558640696228761,241.3
gsm8k-test-9,0.1,STOP,0,72,-0.029838375466224615,241.3
