model,method,lambda_value,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,eval_split,cost_normalizer,source_method
qwen2.5-1.5b,Always STOP,0.1,0.2533333333333333,299.68,0.0,4.094645086129506,0.2223275704496153,300,300,0,0,all,966.53,Always STOP
qwen2.5-1.5b,Always VERIFY,0.1,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.2752117713193934,300,0,300,0,all,966.53,Always VERIFY
qwen2.5-1.5b,Always SC-3,0.1,0.2866666666666667,966.53,666.85,12.40800251166026,0.1866666666666666,300,0,0,300,all,966.53,Always SC-3
qwen2.5-1.5b,Oracle Router,0.1,0.4733333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.4282600643539259,300,234,57,9,all,966.53,Oracle Router
qwen2.5-1.5b,Best learned controller,0.1,0.43,484.82666666666665,185.14666666666668,5.730233168601989,0.3798384254325612,300,210,86,4,all,966.53,"Controller (state_aware, random_forest) calibrated"
qwen2.5-3b,Always STOP,0.1,0.32,299.87,0.0,5.1414111971855165,0.2890718565962231,100,100,0,0,all,969.57,Always STOP
qwen2.5-3b,Always VERIFY,0.1,0.54,912.76,612.89,11.800542874336244,0.445859298451891,100,0,100,0,all,969.57,Always VERIFY
qwen2.5-3b,Always SC-3,0.1,0.34,969.57,669.7,15.64892173051834,0.24,100,0,0,100,all,969.57,Always SC-3
qwen2.5-3b,Oracle Router,0.1,0.6,472.56,172.69,7.076141815185547,0.5512608682199326,100,72,25,3,all,969.57,Oracle Router
qwen2.5-3b,Best learned controller,0.1,0.54,646.98,347.11,8.998946821689605,0.4732714502305146,100,45,53,2,all,969.57,"Controller (state_aware, value_predictor)"
