model,method,lambda_value,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,eval_split,cost_normalizer,source_method
qwen2.5-1.5b,Always STOP,0.1,0.2533333333333333,299.68,0.0,4.094645086129506,0.2223275704496153,300,300,0,0,all,966.53,Always STOP
qwen2.5-1.5b,Always VERIFY,0.1,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.2752117713193934,300,0,300,0,all,966.53,Always VERIFY
qwen2.5-1.5b,Always SC-3,0.1,0.2866666666666667,966.53,666.85,12.40800251166026,0.1866666666666666,300,0,0,300,all,966.53,Always SC-3
qwen2.5-1.5b,Oracle Router,0.1,0.4733333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.4282600643539259,300,234,57,9,all,966.53,Oracle Router
qwen2.5-1.5b,Best learned controller,0.1,0.43,484.82666666666665,185.14666666666668,5.730233168601989,0.3798384254325612,300,210,86,4,all,966.53,"Controller (state_aware, random_forest) calibrated"
qwen2.5-3b-smoke10,Always STOP,0.1,0.4,290.3,0.0,5.258022022247315,0.3693679434420175,10,10,0,0,all,947.7,Always STOP
qwen2.5-3b-smoke10,Always VERIFY,0.1,0.6,884.0,593.7,11.72349989414215,0.506721536351166,10,0,10,0,all,947.7,Always VERIFY
qwen2.5-3b-smoke10,Always SC-3,0.1,0.5,947.7,657.4,16.081939101219177,0.4,10,0,0,10,all,947.7,Always SC-3
qwen2.5-3b-smoke10,Oracle Router,0.1,0.7,473.7,183.4,7.301543021202088,0.6500158277936056,10,7,3,0,all,947.7,Oracle Router
qwen2.5-3b-smoke10,Best learned controller,0.1,0.7,473.7,183.4,7.301543021202088,0.6500158277936056,10,7,3,0,all,947.7,"Controller (state_aware, random_forest) calibrated"
