model,method,lambda_value,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,eval_split,cost_normalizer,source_method
qwen2.5-1.5b,Always STOP,0.1,0.2533333333333333,299.68,0.0,4.094645086129506,0.2223275704496153,300,300,0,0,all,966.53,Always STOP
qwen2.5-1.5b,Always VERIFY,0.1,0.37,916.1566666666666,616.4766666666667,9.481505759557088,0.2752117713193934,300,0,300,0,all,966.53,Always VERIFY
qwen2.5-1.5b,Always SC-3,0.1,0.2866666666666667,966.53,666.85,12.40800251166026,0.1866666666666666,300,0,0,300,all,966.53,Always SC-3
qwen2.5-1.5b,Oracle Router,0.1,0.4733333333333333,435.64666666666665,135.96666666666667,5.336192042827606,0.4282600643539259,300,234,57,9,all,966.53,Oracle Router
qwen2.5-1.5b,Best learned controller,0.1,0.43,484.82666666666665,185.14666666666668,5.730233168601989,0.3798384254325612,300,210,86,4,all,966.53,"Controller (state_aware, random_forest) calibrated"
qwen2.5-1.5b-test,Always STOP,0.1,0.1914893617021276,303.8936170212766,0.0,4.114408964806414,0.1600476457676738,47,47,0,0,test,966.53,Always STOP
qwen2.5-1.5b-test,Always VERIFY,0.1,0.2978723404255319,922.1063829787234,618.2127659574468,9.448768245412948,0.2024685368210164,47,0,47,0,test,966.53,Always VERIFY
qwen2.5-1.5b-test,Always SC-3,0.1,0.2765957446808511,974.4893617021276,670.5957446808511,12.43122865291352,0.1757722460101292,47,0,0,47,test,966.53,Always SC-3
qwen2.5-1.5b-test,Oracle Router,0.1,0.4042553191489361,431.531914893617,127.63829787234044,5.403673618397814,0.3596077743346399,47,37,6,4,test,966.53,Oracle Router
qwen2.5-1.5b-test,Best learned controller,0.1,0.2978723404255319,690.7659574468086,386.8723404255319,7.544382090264178,0.2264036889147864,47,18,28,1,test,966.53,"Controller (state_aware, logistic) calibrated"
