lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.0,75.1,0.0,1.1563301086425781e-05,0.0,10,10,0,0,241.3
0.0,VERIFY,0.0,189.2,114.1,1.9764900207519533e-05,0.0,10,0,10,0,241.3
0.0,SC-3,0.0,241.3,166.2,2.1791458129882814e-05,0.0,10,0,0,10,241.3
0.0,Oracle,0.0,75.1,0.0,1.1563301086425781e-05,0.0,10,10,0,0,241.3
0.05,STOP,0.0,75.1,0.0,1.1563301086425781e-05,-0.015561541649399088,10,10,0,0,241.3
0.05,VERIFY,0.0,189.2,114.1,1.9764900207519533e-05,-0.03920430998756734,10,0,10,0,241.3
0.05,SC-3,0.0,241.3,166.2,2.1791458129882814e-05,-0.05,10,0,0,10,241.3
0.05,Oracle,0.0,75.1,0.0,1.1563301086425781e-05,-0.015561541649399088,10,10,0,0,241.3
0.1,STOP,0.0,75.1,0.0,1.1563301086425781e-05,-0.031123083298798176,10,10,0,0,241.3
0.1,VERIFY,0.0,189.2,114.1,1.9764900207519533e-05,-0.07840861997513468,10,0,10,0,241.3
0.1,SC-3,0.0,241.3,166.2,2.1791458129882814e-05,-0.1,10,0,0,10,241.3
0.1,Oracle,0.0,75.1,0.0,1.1563301086425781e-05,-0.031123083298798176,10,10,0,0,241.3
0.2,STOP,0.0,75.1,0.0,1.1563301086425781e-05,-0.06224616659759635,10,10,0,0,241.3
0.2,VERIFY,0.0,189.2,114.1,1.9764900207519533e-05,-0.15681723995026936,10,0,10,0,241.3
0.2,SC-3,0.0,241.3,166.2,2.1791458129882814e-05,-0.2,10,0,0,10,241.3
0.2,Oracle,0.0,75.1,0.0,1.1563301086425781e-05,-0.06224616659759635,10,10,0,0,241.3
