lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.2,306.6,0.0,4.295369470119477,0.2,20,20,0,0,938.75
0.0,VERIFY,0.15,838.8,532.2,8.569203901290894,0.15,20,0,20,0,938.75
0.0,SC-3,0.2,938.75,632.15,12.923300588130951,0.2,20,0,0,20,938.75
0.0,Oracle,0.2,306.6,0.0,4.295369470119477,0.2,20,20,0,0,938.75
0.05,STOP,0.2,306.6,0.0,4.295369470119477,0.18366977363515313,20,20,0,0,938.75
0.05,VERIFY,0.15,838.8,532.2,8.569203901290894,0.10532356857523302,20,0,20,0,938.75
0.05,SC-3,0.2,938.75,632.15,12.923300588130951,0.15,20,0,0,20,938.75
0.05,Oracle,0.2,306.6,0.0,4.295369470119477,0.18366977363515313,20,20,0,0,938.75
0.1,STOP,0.2,306.6,0.0,4.295369470119477,0.16733954727030625,20,20,0,0,938.75
0.1,VERIFY,0.15,838.8,532.2,8.569203901290894,0.060647137150466046,20,0,20,0,938.75
0.1,SC-3,0.2,938.75,632.15,12.923300588130951,0.09999999999999999,20,0,0,20,938.75
0.1,Oracle,0.2,306.6,0.0,4.295369470119477,0.16733954727030625,20,20,0,0,938.75
0.2,STOP,0.2,306.6,0.0,4.295369470119477,0.1346790945406125,20,20,0,0,938.75
0.2,VERIFY,0.15,838.8,532.2,8.569203901290894,-0.02870572569906792,20,0,20,0,938.75
0.2,SC-3,0.2,938.75,632.15,12.923300588130951,-5.551115123125783e-18,20,0,0,20,938.75
0.2,Oracle,0.2,306.6,0.0,4.295369470119477,0.1346790945406125,20,20,0,0,938.75
