example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.0,STOP,0,311,0.0,938.75
gsm8k-test-0,0.05,STOP,0,311,-0.01656458055925433,938.75
gsm8k-test-0,0.1,STOP,0,311,-0.03312916111850866,938.75
gsm8k-test-0,0.2,STOP,0,311,-0.06625832223701732,938.75
gsm8k-test-1,0.0,STOP,1,272,1.0,938.75
gsm8k-test-1,0.05,STOP,1,272,0.9855126498002663,938.75
gsm8k-test-1,0.1,STOP,1,272,0.9710252996005326,938.75
gsm8k-test-1,0.2,STOP,1,272,0.9420505992010653,938.75
gsm8k-test-2,0.0,STOP,0,303,0.0,938.75
gsm8k-test-2,0.05,STOP,0,303,-0.016138482023968042,938.75
gsm8k-test-2,0.1,STOP,0,303,-0.032276964047936084,938.75
gsm8k-test-2,0.2,STOP,0,303,-0.06455392809587217,938.75
gsm8k-test-3,0.0,STOP,1,266,1.0,938.75
gsm8k-test-3,0.05,STOP,1,266,0.9858322237017311,938.75
gsm8k-test-3,0.1,STOP,1,266,0.971664447403462,938.75
gsm8k-test-3,0.2,STOP,1,266,0.9433288948069241,938.75
gsm8k-test-4,0.0,STOP,1,357,1.0,938.75
gsm8k-test-4,0.05,STOP,1,357,0.9809853528628495,938.75
gsm8k-test-4,0.1,STOP,1,357,0.9619707057256991,938.75
gsm8k-test-4,0.2,STOP,1,357,0.9239414114513982,938.75
gsm8k-test-5,0.0,STOP,0,302,0.0,938.75
gsm8k-test-5,0.05,STOP,0,302,-0.016085219707057258,938.75
gsm8k-test-5,0.1,STOP,0,302,-0.032170439414114516,938.75
gsm8k-test-5,0.2,STOP,0,302,-0.06434087882822903,938.75
gsm8k-test-6,0.0,STOP,0,288,0.0,938.75
gsm8k-test-6,0.05,STOP,0,288,-0.015339547270306259,938.75
gsm8k-test-6,0.1,STOP,0,288,-0.030679094540612517,938.75
gsm8k-test-6,0.2,STOP,0,288,-0.061358189081225034,938.75
gsm8k-test-7,0.0,STOP,0,316,0.0,938.75
gsm8k-test-7,0.05,STOP,0,316,-0.016830892143808257,938.75
gsm8k-test-7,0.1,STOP,0,316,-0.033661784287616514,938.75
gsm8k-test-7,0.2,STOP,0,316,-0.06732356857523303,938.75
gsm8k-test-8,0.0,STOP,0,350,0.0,938.75
gsm8k-test-8,0.05,STOP,0,350,-0.018641810918774968,938.75
gsm8k-test-8,0.1,STOP,0,350,-0.037283621837549935,938.75
gsm8k-test-8,0.2,STOP,0,350,-0.07456724367509987,938.75
gsm8k-test-9,0.0,STOP,0,306,0.0,938.75
gsm8k-test-9,0.05,STOP,0,306,-0.0162982689747004,938.75
gsm8k-test-9,0.1,STOP,0,306,-0.0325965379494008,938.75
gsm8k-test-9,0.2,STOP,0,306,-0.0651930758988016,938.75
gsm8k-test-10,0.0,STOP,0,306,0.0,938.75
gsm8k-test-10,0.05,STOP,0,306,-0.0162982689747004,938.75
gsm8k-test-10,0.1,STOP,0,306,-0.0325965379494008,938.75
gsm8k-test-10,0.2,STOP,0,306,-0.0651930758988016,938.75
gsm8k-test-11,0.0,STOP,0,311,0.0,938.75
gsm8k-test-11,0.05,STOP,0,311,-0.01656458055925433,938.75
gsm8k-test-11,0.1,STOP,0,311,-0.03312916111850866,938.75
gsm8k-test-11,0.2,STOP,0,311,-0.06625832223701732,938.75
gsm8k-test-12,0.0,STOP,0,313,0.0,938.75
gsm8k-test-12,0.05,STOP,0,313,-0.0166711051930759,938.75
gsm8k-test-12,0.1,STOP,0,313,-0.0333422103861518,938.75
gsm8k-test-12,0.2,STOP,0,313,-0.0666844207723036,938.75
gsm8k-test-13,0.0,STOP,0,304,0.0,938.75
gsm8k-test-13,0.05,STOP,0,304,-0.01619174434087883,938.75
gsm8k-test-13,0.1,STOP,0,304,-0.03238348868175766,938.75
gsm8k-test-13,0.2,STOP,0,304,-0.06476697736351532,938.75
gsm8k-test-14,0.0,STOP,0,298,0.0,938.75
gsm8k-test-14,0.05,STOP,0,298,-0.015872170439414118,938.75
gsm8k-test-14,0.1,STOP,0,298,-0.031744340878828235,938.75
gsm8k-test-14,0.2,STOP,0,298,-0.06348868175765647,938.75
gsm8k-test-15,0.0,STOP,0,340,0.0,938.75
gsm8k-test-15,0.05,STOP,0,340,-0.018109187749667112,938.75
gsm8k-test-15,0.1,STOP,0,340,-0.036218375499334224,938.75
gsm8k-test-15,0.2,STOP,0,340,-0.07243675099866845,938.75
gsm8k-test-16,0.0,STOP,0,299,0.0,938.75
gsm8k-test-16,0.05,STOP,0,299,-0.015925432756324902,938.75
gsm8k-test-16,0.1,STOP,0,299,-0.031850865512649804,938.75
gsm8k-test-16,0.2,STOP,0,299,-0.06370173102529961,938.75
gsm8k-test-17,0.0,STOP,0,304,0.0,938.75
gsm8k-test-17,0.05,STOP,0,304,-0.01619174434087883,938.75
gsm8k-test-17,0.1,STOP,0,304,-0.03238348868175766,938.75
gsm8k-test-17,0.2,STOP,0,304,-0.06476697736351532,938.75
gsm8k-test-18,0.0,STOP,0,275,0.0,938.75
gsm8k-test-18,0.05,STOP,0,275,-0.014647137150466045,938.75
gsm8k-test-18,0.1,STOP,0,275,-0.02929427430093209,938.75
gsm8k-test-18,0.2,STOP,0,275,-0.05858854860186418,938.75
gsm8k-test-19,0.0,STOP,1,311,1.0,938.75
gsm8k-test-19,0.05,STOP,1,311,0.9834354194407456,938.75
gsm8k-test-19,0.1,STOP,1,311,0.9668708388814914,938.75
gsm8k-test-19,0.2,STOP,1,311,0.9337416777629827,938.75
