example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.0,SC-3,1,769,1.0,937.25
gsm8k-test-0,0.05,SC-3,1,769,0.9589757268604961,937.25
gsm8k-test-0,0.1,SC-3,1,769,0.9179514537209923,937.25
gsm8k-test-0,0.2,SC-3,1,769,0.8359029074419845,937.25
gsm8k-test-1,0.0,STOP,0,297,0.0,937.25
gsm8k-test-1,0.05,STOP,0,297,-0.015844225126700456,937.25
gsm8k-test-1,0.1,STOP,0,297,-0.03168845025340091,937.25
gsm8k-test-1,0.2,STOP,0,297,-0.06337690050680182,937.25
gsm8k-test-2,0.0,STOP,1,302,1.0,937.25
gsm8k-test-2,0.05,STOP,1,302,0.9838890370765537,937.25
gsm8k-test-2,0.1,STOP,1,302,0.9677780741531075,937.25
gsm8k-test-2,0.2,STOP,1,302,0.935556148306215,937.25
gsm8k-test-3,0.0,VERIFY,1,911,1.0,937.25
gsm8k-test-3,0.05,VERIFY,1,911,0.9514003734329154,937.25
gsm8k-test-3,0.1,VERIFY,1,911,0.9028007468658309,937.25
gsm8k-test-3,0.2,VERIFY,1,911,0.8056014937316618,937.25
gsm8k-test-4,0.0,STOP,0,314,0.0,937.25
gsm8k-test-4,0.05,STOP,0,314,-0.01675113363563617,937.25
gsm8k-test-4,0.1,STOP,0,314,-0.03350226727127234,937.25
gsm8k-test-4,0.2,STOP,0,314,-0.06700453454254468,937.25
gsm8k-test-5,0.0,VERIFY,1,813,1.0,937.25
gsm8k-test-5,0.05,VERIFY,1,813,0.9566284342491331,937.25
gsm8k-test-5,0.1,VERIFY,1,813,0.9132568684982663,937.25
gsm8k-test-5,0.2,VERIFY,1,813,0.8265137369965324,937.25
gsm8k-test-6,0.0,SC-3,1,950,1.0,937.25
gsm8k-test-6,0.05,SC-3,1,950,0.9493198186182982,937.25
gsm8k-test-6,0.1,SC-3,1,950,0.8986396372365965,937.25
gsm8k-test-6,0.2,SC-3,1,950,0.7972792744731929,937.25
gsm8k-test-7,0.0,STOP,1,242,1.0,937.25
gsm8k-test-7,0.05,STOP,1,242,0.9870898906375033,937.25
gsm8k-test-7,0.1,STOP,1,242,0.9741797812750067,937.25
gsm8k-test-7,0.2,STOP,1,242,0.9483595625500133,937.25
gsm8k-test-8,0.0,STOP,1,189,1.0,937.25
gsm8k-test-8,0.05,STOP,1,189,0.9899173112830087,937.25
gsm8k-test-8,0.1,STOP,1,189,0.9798346225660176,937.25
gsm8k-test-8,0.2,STOP,1,189,0.9596692451320352,937.25
gsm8k-test-9,0.0,STOP,0,303,0.0,937.25
gsm8k-test-9,0.05,STOP,0,303,-0.016164310482795412,937.25
gsm8k-test-9,0.1,STOP,0,303,-0.032328620965590825,937.25
gsm8k-test-9,0.2,STOP,0,303,-0.06465724193118165,937.25
gsm8k-test-10,0.0,STOP,0,358,0.0,937.25
gsm8k-test-10,0.05,STOP,0,358,-0.0190984262469992,937.25
gsm8k-test-10,0.1,STOP,0,358,-0.0381968524939984,937.25
gsm8k-test-10,0.2,STOP,0,358,-0.0763937049879968,937.25
gsm8k-test-11,0.0,STOP,0,290,0.0,937.25
gsm8k-test-11,0.05,STOP,0,290,-0.015470792211256336,937.25
gsm8k-test-11,0.1,STOP,0,290,-0.030941584422512672,937.25
gsm8k-test-11,0.2,STOP,0,290,-0.061883168845025344,937.25
gsm8k-test-12,0.0,STOP,0,285,0.0,937.25
gsm8k-test-12,0.05,STOP,0,285,-0.015204054414510539,937.25
gsm8k-test-12,0.1,STOP,0,285,-0.030408108829021077,937.25
gsm8k-test-12,0.2,STOP,0,285,-0.060816217658042154,937.25
gsm8k-test-13,0.0,STOP,1,289,1.0,937.25
gsm8k-test-13,0.05,STOP,1,289,0.9845825553480928,937.25
gsm8k-test-13,0.1,STOP,1,289,0.9691651106961856,937.25
gsm8k-test-13,0.2,STOP,1,289,0.9383302213923713,937.25
gsm8k-test-14,0.0,STOP,0,305,0.0,937.25
gsm8k-test-14,0.05,STOP,0,305,-0.01627100560149373,937.25
gsm8k-test-14,0.1,STOP,0,305,-0.03254201120298746,937.25
gsm8k-test-14,0.2,STOP,0,305,-0.06508402240597493,937.25
gsm8k-test-15,0.0,VERIFY,1,911,1.0,937.25
gsm8k-test-15,0.05,VERIFY,1,911,0.9514003734329154,937.25
gsm8k-test-15,0.1,VERIFY,1,911,0.9028007468658309,937.25
gsm8k-test-15,0.2,VERIFY,1,911,0.8056014937316618,937.25
