lambda_value,method,accuracy,avg_total_tokens,avg_additional_tokens,avg_latency,utility,num_examples,stop_count,verify_count,sc3_count,cost_normalizer
0.0,STOP,0.32,299.87,0.0,5.1414111971855165,0.32,100,100,0,0,969.57
0.0,VERIFY,0.54,912.76,612.89,11.800542874336243,0.54,100,0,100,0,969.57
0.0,SC-3,0.34,969.57,669.7,15.64892173051834,0.34,100,0,0,100,969.57
0.0,Oracle,0.6,472.56,172.69,7.076141815185547,0.6,100,72,25,3,969.57
0.05,STOP,0.32,299.87,0.0,5.1414111971855165,0.30453592829811155,100,100,0,0,969.57
0.05,VERIFY,0.54,912.76,612.89,11.800542874336243,0.4929296492259455,100,0,100,0,969.57
0.05,SC-3,0.34,969.57,669.7,15.64892173051834,0.29,100,0,0,100,969.57
0.05,Oracle,0.6,472.56,172.69,7.076141815185547,0.5756304341099663,100,72,25,3,969.57
0.1,STOP,0.32,299.87,0.0,5.1414111971855165,0.2890718565962231,100,100,0,0,969.57
0.1,VERIFY,0.54,912.76,612.89,11.800542874336243,0.44585929845189104,100,0,100,0,969.57
0.1,SC-3,0.34,969.57,669.7,15.64892173051834,0.24,100,0,0,100,969.57
0.1,Oracle,0.6,472.56,172.69,7.076141815185547,0.5512608682199326,100,72,25,3,969.57
0.2,STOP,0.32,299.87,0.0,5.1414111971855165,0.25814371319244617,100,100,0,0,969.57
0.2,VERIFY,0.54,912.76,612.89,11.800542874336243,0.35171859690378204,100,0,100,0,969.57
0.2,SC-3,0.34,969.57,669.7,15.64892173051834,0.14,100,0,0,100,969.57
0.2,Oracle,0.6,472.56,172.69,7.076141815185547,0.5025217364398651,100,72,25,3,969.57
