example_id,lambda_value,oracle_action,oracle_correct,oracle_total_tokens,oracle_utility,cost_normalizer
gsm8k-test-0,0.0,STOP,1,278,1.0,969.57
gsm8k-test-0,0.05,STOP,1,278,0.9856637478469837,969.57
gsm8k-test-0,0.1,STOP,1,278,0.9713274956939675,969.57
gsm8k-test-0,0.2,STOP,1,278,0.9426549913879348,969.57
gsm8k-test-1,0.0,VERIFY,1,896,1.0,969.57
gsm8k-test-1,0.05,VERIFY,1,896,0.9537939498953144,969.57
gsm8k-test-1,0.1,VERIFY,1,896,0.9075878997906288,969.57
gsm8k-test-1,0.2,VERIFY,1,896,0.8151757995812576,969.57
gsm8k-test-2,0.0,STOP,0,309,0.0,969.57
gsm8k-test-2,0.05,STOP,0,309,-0.01593489897583465,969.57
gsm8k-test-2,0.1,STOP,0,309,-0.0318697979516693,969.57
gsm8k-test-2,0.2,STOP,0,309,-0.0637395959033386,969.57
gsm8k-test-3,0.0,STOP,1,280,1.0,969.57
gsm8k-test-3,0.05,STOP,1,280,0.9855606093422857,969.57
gsm8k-test-3,0.1,STOP,1,280,0.9711212186845715,969.57
gsm8k-test-3,0.2,STOP,1,280,0.942242437369143,969.57
gsm8k-test-4,0.0,STOP,0,314,0.0,969.57
gsm8k-test-4,0.05,STOP,0,314,-0.016192745237579544,969.57
gsm8k-test-4,0.1,STOP,0,314,-0.03238549047515909,969.57
gsm8k-test-4,0.2,STOP,0,314,-0.06477098095031818,969.57
gsm8k-test-5,0.0,VERIFY,1,916,1.0,969.57
gsm8k-test-5,0.05,VERIFY,1,916,0.9527625648483349,969.57
gsm8k-test-5,0.1,VERIFY,1,916,0.9055251296966697,969.57
gsm8k-test-5,0.2,VERIFY,1,916,0.8110502593933393,969.57
gsm8k-test-6,0.0,STOP,1,279,1.0,969.57
gsm8k-test-6,0.05,STOP,1,279,0.9856121785946348,969.57
gsm8k-test-6,0.1,STOP,1,279,0.9712243571892695,969.57
gsm8k-test-6,0.2,STOP,1,279,0.9424487143785389,969.57
gsm8k-test-7,0.0,VERIFY,1,906,1.0,969.57
gsm8k-test-7,0.05,VERIFY,1,906,0.9532782573718246,969.57
gsm8k-test-7,0.1,VERIFY,1,906,0.9065565147436493,969.57
gsm8k-test-7,0.2,VERIFY,1,906,0.8131130294872985,969.57
gsm8k-test-8,0.0,STOP,1,256,1.0,969.57
gsm8k-test-8,0.05,STOP,1,256,0.9867982713986613,969.57
gsm8k-test-8,0.1,STOP,1,256,0.9735965427973226,969.57
gsm8k-test-8,0.2,STOP,1,256,0.9471930855946451,969.57
gsm8k-test-9,0.0,STOP,0,303,0.0,969.57
gsm8k-test-9,0.05,STOP,0,303,-0.015625483461740773,969.57
gsm8k-test-9,0.1,STOP,0,303,-0.031250966923481546,969.57
gsm8k-test-9,0.2,STOP,0,303,-0.06250193384696309,969.57
gsm8k-test-10,0.0,STOP,0,358,0.0,969.57
gsm8k-test-10,0.05,STOP,0,358,-0.018461792340934643,969.57
gsm8k-test-10,0.1,STOP,0,358,-0.036923584681869286,969.57
gsm8k-test-10,0.2,STOP,0,358,-0.07384716936373857,969.57
gsm8k-test-11,0.0,VERIFY,1,901,1.0,969.57
gsm8k-test-11,0.05,VERIFY,1,901,0.9535361036335696,969.57
gsm8k-test-11,0.1,VERIFY,1,901,0.907072207267139,969.57
gsm8k-test-11,0.2,VERIFY,1,901,0.8141444145342781,969.57
gsm8k-test-12,0.0,STOP,0,285,0.0,969.57
gsm8k-test-12,0.05,STOP,0,285,-0.014697236919459143,969.57
gsm8k-test-12,0.1,STOP,0,285,-0.029394473838918286,969.57
gsm8k-test-12,0.2,STOP,0,285,-0.05878894767783657,969.57
